Sample,X,Y,Z
520,1.242,-0.031,-0.766
521,1.113,-0.141,-0.922
522,0.426,-0.059,-1.055
523,0.078,0.168,-0.684
524,0.039,0.223,-0.809
525,0.473,0.035,-1.277
526,1.199,-0.199,-1.203
527,1.477,-0.230,-0.965
528,0.773,0.090,-0.898
529,0.020,0.254,-0.746
530,-0.086,0.230,-0.664
531,0.344,0.043,-1.027
532,0.750,-0.266,-1.172
533,0.973,-0.297,-1.102
534,0.387,-0.062,-1.004
535,-0.719,0.324,-0.688
536,-0.871,0.371,-0.707
537,-0.375,0.078,-0.973
538,0.160,-0.168,-1.109
539,0.547,-0.242,-1.266
540,0.066,0.023,-1.109
541,-0.551,0.246,-0.855
542,-0.789,0.230,-0.664
543,-0.398,0.207,-0.695
544,0.449,-0.230,-1.078
545,0.695,-0.270,-1.012
546,0.148,-0.012,-1.039
547,-0.293,0.270,-1.023
548,-0.375,0.152,-0.750
549,0.023,-0.074,-0.871
550,0.520,-0.086,-1.070
551,0.402,-0.059,-0.930
552,0.203,0.086,-0.969
553,0.125,0.012,-1.023
554,0.051,0.141,-0.898
555,-0.039,0.008,-1.004
556,0.066,0.004,-0.996
557,0.066,-0.043,-0.938
558,-0.141,0.070,-0.922
559,-0.090,0.113,-0.984
560,0.113,0.000,-1.000
561,-0.039,-0.031,-0.949
562,0.000,0.121,-0.996
563,0.055,0.031,-0.906
564,-0.094,-0.023,-0.777
565,0.082,-0.059,-1.000
566,0.227,0.086,-0.875
567,0.039,0.051,-0.855
568,0.016,0.023,-1.086
569,0.117,-0.023,-0.992
570,-0.078,0.008,-0.816
571,-0.078,0.027,-1.020
572,0.062,0.000,-0.992
573,0.035,0.043,-0.887
574,0.023,0.023,-1.062
575,0.105,0.008,-0.965
576,0.004,-0.016,-0.859
577,0.020,0.070,-0.984
578,0.062,0.055,-0.965
579,0.043,-0.012,-0.879
580,0.055,-0.031,-1.012
581,0.062,0.074,-0.988
582,0.023,0.082,-0.941
583,0.051,0.031,-1.012
584,-0.023,-0.020,-0.922
585,0.012,0.062,-0.879
586,0.094,0.027,-0.957
587,0.047,0.004,-0.953
588,0.074,-0.031,-0.977
