Sample,X,Y,Z
615,0.047,0.082,-0.906
616,0.023,0.113,-0.992
617,0.055,0.113,-0.754
618,-0.020,0.074,-0.793
619,-0.039,0.160,-0.891
620,0.078,0.078,-0.848
621,0.102,0.055,-0.785
622,-0.023,0.082,-0.812
623,-0.059,0.105,-0.789
624,-0.016,0.051,-0.832
625,0.043,0.090,-0.902
626,0.094,0.105,-0.969
627,0.059,0.008,-0.934
628,-0.008,0.098,-0.938
629,0.039,0.043,-1.066
630,0.074,0.023,-0.953
631,0.039,-0.016,-1.000
632,0.031,0.012,-1.105
633,0.031,-0.020,-1.035
634,-0.039,-0.004,-1.008
635,-0.008,0.055,-1.098
636,0.055,-0.031,-1.023
637,0.082,0.027,-0.941
638,0.066,0.039,-1.070
639,0.004,0.039,-0.941
640,0.020,0.039,-0.906
641,0.066,0.094,-1.000
642,0.078,0.055,-0.930
643,0.000,0.031,-0.816
644,0.016,0.125,-0.898
645,0.031,0.062,-0.895
646,0.039,0.082,-0.812
647,0.027,0.016,-0.902
648,-0.020,0.078,-0.828
649,0.004,0.012,-0.859
650,0.023,0.070,-0.969
651,0.016,0.055,-0.918
652,-0.043,0.023,-0.891
653,0.027,0.051,-0.984
654,0.113,0.055,-1.051
655,0.086,-0.020,-0.977
656,0.020,-0.043,-1.004
657,0.004,0.023,-1.043
658,0.066,-0.012,-1.027
659,0.043,-0.051,-1.020
660,0.051,-0.004,-1.047
661,0.051,-0.074,-1.027
662,0.047,-0.004,-0.980
663,0.059,-0.008,-1.066
664,0.059,-0.004,-0.969
665,-0.016,-0.031,-0.930
666,0.027,0.059,-1.012
667,0.035,0.035,-0.926
668,-0.027,0.039,-0.875
669,0.082,0.035,-0.988
670,0.070,0.055,-0.875
671,-0.008,0.074,-0.816
672,-0.012,0.055,-0.930
673,0.020,0.070,-0.844
674,0.059,0.004,-0.891
675,0.035,0.066,-0.906
676,-0.039,0.055,-0.863
677,0.027,0.012,-0.867
678,0.074,0.027,-0.965
679,0.055,0.004,-0.949
680,0.043,0.004,-0.910
681,-0.043,0.008,-0.996
682,0.012,0.020,-1.035
683,0.078,-0.043,-0.980
684,-0.023,-0.012,-1.004
685,-0.020,-0.020,-1.074
686,0.039,-0.016,-0.980
687,0.035,-0.035,-1.012
688,0.035,-0.039,-1.066
689,0.055,0.004,-0.965
690,-0.016,-0.020,-0.992
691,0.008,0.059,-1.016
692,0.047,-0.039,-0.953
693,0.008,-0.004,-0.887
694,0.039,0.027,-1.004
695,0.066,0.023,-0.914
696,0.020,0.051,-0.809
697,0.008,0.020,-0.949
698,-0.004,0.098,-0.875
699,0.023,0.074,-0.848
700,-0.020,0.059,-0.945
701,0.027,0.043,-0.930
702,0.055,0.004,-0.816
703,0.047,0.094,-0.930
704,-0.004,0.020,-0.977
705,0.020,0.031,-0.836
