Sample,X,Y,Z
417,1.535,-1.434,-1.863
418,0.320,-0.660,0.254
419,0.387,-0.102,-1.703
420,-0.387,-0.797,-0.840
421,-1.859,-0.012,1.363
422,-0.031,0.578,-1.492
423,1.203,-0.258,-1.527
424,0.391,-0.668,0.457
425,0.906,-0.602,-1.305
426,-0.547,0.363,-0.312
427,-1.738,-0.152,1.219
428,-0.051,-0.699,-0.926
429,0.977,-0.047,-0.836
430,0.195,-0.773,-0.180
431,0.594,-0.332,-1.406
432,-0.039,-0.730,-1.387
433,-1.719,-0.320,0.504
434,-0.086,-1.008,-1.164
435,0.648,-1.895,-1.492
436,-0.055,-0.238,-0.391
437,0.238,-0.441,-1.992
438,0.066,-0.957,-1.535
439,-0.980,-1.051,-0.617
440,-0.605,-1.180,-1.793
441,0.969,-1.055,-1.324
442,0.340,-1.148,-1.332
443,0.137,-0.430,-1.961
444,0.281,-0.215,-1.695
445,-0.176,-1.230,-1.031
446,-0.367,-0.609,-1.137
447,0.039,-0.586,-1.270
448,0.500,-0.688,-0.438
449,-0.047,-0.441,-0.859
450,-0.188,-0.062,-1.035
451,0.219,-0.477,0.098
452,0.004,-0.547,-0.508
453,-0.094,-0.336,-0.828
454,-0.348,-0.262,0.297
455,0.438,-0.797,-0.246
456,-0.168,-0.316,-0.586
457,-0.035,-0.305,-0.578
458,-0.035,-0.305,-0.578
459,0.047,-0.312,-0.332
460,-0.184,-0.578,-0.543
461,-0.117,-0.492,-1.250
462,0.426,-0.594,-0.766
463,-0.215,-0.645,-0.633
464,-0.230,-0.496,-1.715
465,-0.277,-0.723,-1.086
466,-0.074,-0.828,-0.785
467,0.383,-0.785,-1.836
468,0.289,-0.820,-1.648
469,0.340,-0.629,-0.762
470,0.105,-0.547,-1.898
471,-0.164,-0.742,-1.500
472,0.223,-1.164,-0.906
473,0.141,-0.586,-1.602
474,-0.281,0.012,-1.410
475,-0.375,-1.230,-0.883
476,-0.148,-0.047,-0.707
477,0.305,-0.848,-1.219
478,0.617,-0.660,-0.395
479,0.551,-0.613,-0.789
480,-0.309,-0.539,-0.477
481,-0.523,-0.223,0.191
482,-0.523,-0.223,0.191
483,-0.402,-0.660,-0.844
484,-0.309,-0.145,-0.570
485,0.184,-0.320,-0.742
486,0.352,-0.570,-0.816
487,-0.023,-0.680,-0.547
488,-0.289,-0.582,-0.816
489,0.105,-0.102,-0.754
490,0.328,-0.652,-1.281
491,0.117,-0.480,-1.301
492,0.223,-0.516,-1.129
493,-0.539,-0.789,-0.949
494,-0.527,-0.195,-1.172
495,0.172,-0.801,-1.645
496,0.301,-1.098,-0.652
497,-0.324,-0.301,-1.152
498,-0.508,-0.531,-1.848
499,0.168,-0.871,-0.781
500,0.453,-0.707,-1.352
501,0.578,-0.738,-1.590
502,0.289,-1.055,-0.199
503,0.426,-0.828,-0.395
504,-0.027,-0.492,-1.094
505,-0.516,-0.254,-0.609
506,-0.801,-0.238,-0.871
507,-0.586,-0.832,-1.227
508,-0.168,-0.836,-0.508
509,0.598,-0.516,-1.191
510,0.375,-0.680,-1.145
511,-0.203,-0.504,0.008
512,0.148,-0.312,-1.000
513,0.488,-0.559,-1.113
514,0.395,-0.719,-0.344
515,-0.016,-0.547,-1.281
516,-0.508,-0.305,-1.270
517,-0.871,-0.426,-0.621
518,-0.578,-0.250,-1.270
519,-0.047,-0.473,-1.492
520,0.664,-0.680,-0.855
521,0.984,-0.922,-1.328
522,0.141,0.129,-1.270
523,-0.375,-0.637,-0.977
524,-0.602,-1.270,-0.348
525,0.051,-0.406,-0.738
526,0.699,-0.633,-1.609
527,0.785,-0.688,-0.781
528,-0.180,-0.656,-0.738
529,-0.699,-0.500,-1.016
530,-0.699,-0.500,-1.016
531,-0.652,-0.914,-0.438
532,-0.246,-0.711,-0.770
533,0.238,-0.535,-1.691
534,0.449,-0.602,-1.223
535,0.188,-0.801,-0.762
536,-0.086,-0.602,-0.789
537,-0.090,-0.285,-0.672
538,0.473,-0.777,-0.898
539,0.457,-0.695,-0.977
540,-0.312,-0.379,-1.066
541,-0.832,-0.594,-1.008
542,-0.617,-0.324,-0.922
543,-0.195,-0.965,-1.211
544,0.410,-0.406,-0.738
545,0.562,-0.672,-1.051
546,0.043,-0.602,-0.762
547,-0.211,-0.355,-0.555
548,-0.344,-0.543,-0.977
549,-0.055,-0.375,-0.910
550,0.285,-0.801,-1.066
551,0.367,-0.289,-1.066
552,0.148,-0.633,-1.090
553,-0.199,-0.566,-0.590
554,-0.074,-0.523,-0.871
