Sample,X,Y,Z
519,-0.137,-0.297,-0.637
520,0.520,-0.477,-1.781
521,-0.055,-0.730,-0.582
522,-0.188,-0.672,-0.480
523,0.051,-0.621,-1.359
524,0.004,-0.469,-0.457
525,0.184,-0.590,-0.836
526,0.379,-0.469,-1.336
527,0.000,-0.723,-0.629
528,-0.328,-0.699,-0.703
529,-0.121,-0.473,-1.172
530,0.035,-0.691,-0.781
531,0.086,-0.578,-1.059
532,0.246,-0.766,-1.418
533,0.035,-0.484,-0.641
534,-0.133,-0.488,-1.195
535,-0.074,-0.441,-1.367
536,0.031,-0.453,-0.676
537,0.230,-0.812,-1.113
538,0.039,-0.555,-1.023
539,-0.027,-0.410,-0.949
540,0.312,-0.387,-1.219
541,-0.008,-0.652,-0.816
542,-0.039,-0.668,-0.668
543,0.289,-0.648,-0.938
544,0.086,-0.379,-0.844
545,0.285,-0.492,-1.242
546,-0.078,-0.816,-0.688
547,-0.496,-0.348,-0.242
548,-0.160,-0.602,-1.277
549,0.152,-0.449,-0.820
550,0.305,-0.543,-0.867
551,0.180,-0.711,-1.242
552,-0.363,-0.750,-0.434
553,-0.316,-0.734,-0.645
554,0.086,-0.316,-1.355
555,0.309,-0.629,-1.215
556,0.727,-0.934,-1.008
557,0.434,-0.656,-1.117
558,-0.141,-0.324,-1.035
559,-0.574,-0.477,-1.004
560,-0.531,-0.480,-1.043
561,-0.008,-0.641,-1.121
562,0.434,-0.656,-1.230
563,0.469,-0.242,-1.406
564,0.293,-0.395,-1.242
565,-0.043,-0.723,-0.395
566,-0.273,-0.973,-0.191
567,-0.113,-0.645,-0.652
568,0.203,-0.164,-1.102
569,0.203,-0.156,-1.355
570,0.090,-0.320,-1.180
571,-0.129,-0.660,-0.680
572,-0.250,-0.598,-0.383
573,-0.160,-0.469,-0.738
574,0.129,-0.105,-1.035
575,0.184,-0.148,-1.133
576,0.199,-0.223,-1.289
577,0.219,-0.398,-1.250
578,0.219,-0.398,-1.250
579,0.043,-0.473,-0.879
580,-0.031,-0.285,-0.762
581,-0.234,-0.223,-0.684
582,-0.199,-0.031,-0.836
583,0.219,-0.078,-1.457
584,0.320,-0.023,-1.473
585,0.109,-0.082,-1.375
586,-0.012,-0.059,-0.988
587,-0.137,0.004,-0.539
588,-0.117,-0.102,-0.766
589,0.148,0.270,-1.020
590,0.285,0.043,-1.184
591,0.184,0.105,-0.973
592,0.027,-0.023,-0.875
593,-0.102,-0.055,-0.605
594,-0.148,0.047,-0.520
595,-0.098,0.004,-0.777
596,0.098,0.129,-0.867
597,0.172,-0.012,-1.004
598,0.062,0.035,-0.949
599,-0.082,0.039,-0.871
600,0.020,0.047,-0.801
601,-0.059,-0.047,-0.777
602,0.047,0.004,-1.000
603,0.242,0.004,-1.172
604,-0.016,0.055,-1.035
605,-0.043,0.043,-1.090
606,0.098,-0.066,-1.082
607,0.012,-0.086,-0.957
608,0.070,-0.098,-1.195
609,0.113,-0.008,-1.062
610,-0.055,0.023,-0.910
611,-0.055,0.023,-0.910
612,0.039,-0.008,-1.117
613,0.168,-0.012,-0.965
614,0.090,-0.031,-0.910
615,0.020,0.078,-1.059
616,0.004,0.051,-0.883
617,0.047,0.086,-0.809
618,0.055,0.070,-0.945
619,0.078,0.125,-0.840
620,0.078,0.125,-0.840
621,0.023,0.121,-0.789
622,-0.027,0.109,-0.871
623,0.016,0.062,-0.816
624,0.086,0.098,-0.754
625,0.027,0.051,-0.844
626,0.027,0.051,-0.844
627,0.020,0.145,-0.832
628,0.043,0.039,-0.863
629,-0.066,0.062,-0.855
630,0.000,0.125,-0.961
631,0.137,0.047,-0.984
632,0.117,0.031,-0.918
633,0.105,-0.023,-1.102
634,0.059,0.031,-1.004
635,-0.066,0.039,-0.934
636,-0.020,0.004,-1.102
637,0.148,0.020,-1.035
638,0.051,-0.086,-0.930
639,0.051,0.078,-1.070
640,0.059,0.031,-1.082
641,0.031,-0.004,-0.887
642,0.047,0.008,-1.047
643,0.090,0.055,-1.070
644,0.059,0.035,-0.902
645,-0.023,0.055,-0.918
646,-0.016,0.141,-0.961
647,0.000,0.039,-0.863
648,0.086,0.086,-0.801
649,0.129,0.035,-0.984
650,0.059,0.066,-0.848
651,-0.055,0.039,-0.848
652,0.008,0.066,-0.898
653,0.055,0.070,-0.828
654,0.070,-0.012,-0.910
655,0.055,0.078,-0.930
656,0.000,0.008,-0.938
657,0.000,0.062,-0.992
658,0.074,0.047,-1.043
659,0.074,-0.027,-0.949
660,0.059,0.012,-0.938
661,0.020,-0.023,-1.059
662,0.117,0.004,-1.020
663,0.020,-0.059,-0.992
664,-0.023,0.020,-1.062
665,0.047,0.000,-1.039
666,0.102,-0.027,-0.953
667,0.133,-0.004,-1.043
668,0.078,-0.004,-1.047
669,-0.043,0.008,-0.879
670,-0.023,0.039,-0.965
671,0.016,0.047,-0.973
672,0.078,-0.004,-0.891
673,0.141,0.023,-0.945
674,0.074,0.039,-0.934
675,-0.051,0.121,-0.809
676,-0.031,0.082,-0.844
677,0.062,0.062,-0.914
678,0.090,0.004,-0.852
679,0.039,0.035,-0.898
680,-0.004,0.070,-0.953
681,-0.020,0.031,-0.863
682,0.062,0.027,-0.918
683,0.062,0.027,-0.918
684,0.102,0.020,-0.953
685,0.031,0.000,-0.906
686,-0.004,0.012,-1.012
687,0.016,0.012,-1.035
688,0.066,-0.020,-0.980
689,0.008,-0.004,-0.988
690,0.039,-0.008,-1.027
691,0.145,-0.027,-0.996
692,0.070,-0.043,-1.008
693,0.004,-0.012,-1.039
694,0.031,0.035,-0.969
695,0.000,-0.023,-0.957
696,0.059,0.039,-1.016
697,0.090,-0.016,-0.984
698,-0.012,-0.023,-0.895
699,-0.008,0.023,-0.980
700,0.055,-0.004,-0.910
701,0.070,0.043,-0.824
702,0.047,-0.039,-0.938
703,-0.008,0.082,-0.895
704,0.004,0.051,-0.902
705,-0.020,0.062,-0.898
706,0.055,0.070,-0.922
707,0.121,-0.004,-0.875
708,0.098,0.023,-0.871
709,0.059,0.016,-1.000
710,-0.008,0.027,-0.906
711,-0.062,0.023,-0.906
712,0.074,0.043,-1.012
713,0.109,-0.008,-0.988
714,0.066,0.008,-0.945
715,0.043,0.035,-1.062
716,0.047,0.000,-1.016
717,0.008,0.008,-0.918
718,0.051,-0.016,-1.043
719,0.090,0.020,-0.996
720,0.020,-0.008,-0.953
721,-0.027,0.113,-1.031
722,0.027,0.086,-1.012
723,0.027,-0.016,-0.898
724,0.133,0.055,-0.969
725,0.133,0.016,-0.980
726,0.016,0.039,-0.852
727,-0.082,0.035,-0.965
728,-0.012,0.078,-0.953
729,0.078,0.059,-0.867
730,0.062,0.020,-0.895
731,0.051,0.098,-0.941
732,0.066,0.027,-0.938
733,0.020,0.055,-0.867
734,-0.016,0.070,-0.961
735,0.008,0.039,-0.918
736,0.008,0.008,-0.875
737,0.094,0.035,-1.023
738,0.055,0.023,-0.988
739,0.012,0.070,-0.902
740,0.012,0.023,-1.000
741,0.090,0.023,-0.973
742,0.109,0.000,-0.953
743,0.070,-0.008,-1.023
744,0.012,0.059,-1.023
745,-0.004,0.008,-0.953
