Sample,X,Y,Z
447,1.043,0.105,-0.441
448,0.391,0.031,-0.770
449,0.262,0.305,-1.625
450,0.637,0.000,-0.613
451,0.938,0.023,-0.281
452,0.375,0.008,-1.305
453,0.652,0.039,-1.043
454,1.129,0.074,-0.688
455,0.395,0.023,-1.191
456,-0.074,0.227,-1.254
457,0.688,0.051,-0.777
458,0.496,-0.008,-0.668
459,0.938,-0.070,-1.473
460,1.215,-0.234,-0.875
461,0.762,0.129,-0.391
462,0.367,0.113,-1.547
463,0.281,0.020,-0.969
464,0.664,0.027,-0.629
465,0.969,-0.215,-1.605
466,0.348,-0.020,-0.828
467,1.062,0.137,-0.840
468,0.648,-0.109,-1.094
469,0.230,0.301,-0.672
470,0.691,-0.023,-1.105
471,0.844,0.031,-0.770
472,0.660,-0.105,-0.883
473,1.016,-0.047,-1.352
474,0.719,0.145,-0.641
475,0.406,0.008,-0.762
476,0.336,0.176,-1.125
477,0.453,0.113,-0.711
478,0.418,-0.090,-0.746
479,0.793,0.008,-1.352
480,0.801,0.102,-1.047
481,0.562,-0.008,-0.727
482,0.340,0.227,-1.016
483,0.531,0.156,-0.848
484,0.469,-0.141,-0.676
485,0.871,0.070,-1.141
486,0.832,-0.023,-1.168
487,0.715,-0.039,-0.828
488,0.527,0.059,-1.102
489,0.629,0.020,-0.961
490,0.590,-0.062,-0.730
491,0.852,0.012,-1.203
492,0.773,-0.047,-1.051
493,0.770,-0.035,-0.793
494,0.715,-0.008,-1.164
495,0.609,0.008,-0.938
496,0.633,0.121,-0.727
497,0.852,-0.012,-1.148
498,0.738,-0.137,-0.988
499,0.781,0.082,-0.926
500,0.398,0.113,-1.207
501,0.078,0.086,-0.859
502,0.703,0.031,-0.941
503,0.609,-0.059,-1.070
504,0.582,0.051,-0.805
505,0.980,-0.105,-0.855
506,0.363,0.113,-0.754
507,-0.004,0.238,-0.863
508,0.695,-0.008,-0.906
509,0.742,-0.102,-0.914
510,0.617,0.000,-1.309
511,0.566,0.082,-0.766
512,0.352,0.191,-0.480
513,0.391,0.023,-1.270
514,0.848,0.070,-1.039
515,0.828,0.043,-0.719
516,0.438,0.055,-1.250
517,0.590,-0.035,-1.098
518,1.156,-0.055,-0.590
519,1.168,-0.102,-0.992
520,0.594,-0.102,-1.105
521,0.137,0.156,-0.648
522,-0.031,0.250,-0.934
523,0.312,0.023,-1.328
524,1.125,-0.230,-1.156
525,1.594,-0.172,-1.082
526,0.898,0.023,-1.016
527,0.051,0.242,-0.652
528,-0.145,0.367,-0.598
529,0.207,0.090,-1.035
530,0.695,-0.266,-1.125
531,1.125,-0.336,-1.086
532,0.582,-0.117,-1.062
533,-0.637,0.207,-0.699
534,-0.996,0.426,-0.590
535,-0.547,0.277,-0.906
536,0.066,-0.211,-1.148
537,0.566,-0.352,-1.219
538,0.258,0.023,-1.148
539,-0.547,0.223,-0.938
540,-1.027,0.266,-0.602
541,-0.641,0.293,-0.617
542,0.316,-0.160,-1.047
543,0.883,-0.367,-1.113
544,0.359,-0.062,-1.121
545,-0.262,0.270,-1.000
546,-0.574,0.223,-0.680
547,-0.133,0.008,-0.848
548,0.590,-0.109,-1.062
549,0.691,-0.141,-0.918
550,0.320,-0.012,-1.070
551,0.117,0.078,-1.102
552,-0.020,0.098,-0.754
553,-0.008,0.047,-0.922
554,-0.008,0.047,-0.922
555,0.148,0.004,-1.133
556,0.215,-0.059,-0.949
557,-0.141,-0.031,-0.926
558,-0.250,0.117,-1.047
559,0.031,0.109,-1.035
560,-0.008,-0.074,-0.977
561,-0.047,0.047,-0.965
562,0.027,0.113,-0.898
563,-0.176,0.004,-0.824
564,-0.012,-0.047,-0.957
565,0.227,0.055,-0.832
566,0.012,0.070,-0.875
567,0.016,0.012,-1.066
568,0.152,0.016,-0.875
569,0.062,0.062,-0.859
570,0.008,0.012,-1.039
571,0.098,-0.039,-0.863
572,0.055,0.113,-0.867
573,-0.039,0.016,-1.113
574,0.035,-0.012,-0.934
575,0.074,0.004,-0.941
576,-0.031,0.008,-1.059
577,-0.008,0.062,-0.875
578,0.121,0.059,-0.980
579,0.043,0.008,-1.121
580,-0.094,-0.055,-0.906
581,0.062,0.078,-0.941
582,0.141,0.113,-1.113
583,-0.004,-0.062,-0.934
584,0.090,0.035,-0.844
585,0.148,0.078,-1.000
586,-0.074,-0.031,-0.977
587,0.000,-0.051,-0.883
588,0.113,0.086,-0.844
589,-0.043,0.035,-0.977
590,0.043,-0.004,-0.945
591,0.102,0.039,-0.875
592,-0.023,0.070,-0.977
593,-0.039,0.066,-0.922
594,0.105,0.121,-0.879
595,0.051,0.059,-1.004
596,-0.023,-0.039,-0.895
597,0.066,0.062,-0.871
598,0.051,0.059,-1.043
599,-0.051,-0.066,-0.891
600,0.055,0.059,-0.805
601,0.141,0.031,-1.066
602,0.039,-0.066,-1.047
603,0.016,-0.027,-0.875
604,0.059,0.109,-1.055
605,0.047,0.066,-1.062
606,0.055,-0.051,-0.934
607,0.105,0.008,-0.957
608,0.051,0.020,-1.000
609,0.012,-0.023,-0.977
610,0.059,0.020,-0.977
611,0.070,0.012,-0.930
612,0.004,-0.031,-0.867
613,0.059,0.023,-0.965
614,0.098,0.031,-1.027
615,-0.016,0.035,-0.906
616,-0.070,0.074,-0.898
617,0.062,0.094,-0.992
618,0.070,0.043,-0.941
619,0.051,-0.012,-0.930
620,0.094,0.055,-0.953
621,0.004,0.047,-0.910
622,-0.043,-0.047,-0.895
623,0.121,0.023,-0.844
624,0.148,0.047,-0.918
625,0.059,-0.039,-1.004
626,0.012,0.027,-0.906
627,0.020,0.117,-0.949
628,0.020,0.070,-1.043
629,0.129,-0.062,-0.938
630,0.160,0.035,-0.945
631,0.020,0.016,-1.008
632,-0.066,0.012,-0.906
633,-0.004,0.016,-0.980
634,0.066,-0.023,-0.984
635,0.090,-0.039,-0.883
636,0.055,-0.004,-1.008
637,-0.008,0.051,-1.031
638,-0.066,0.020,-0.898
639,-0.027,0.043,-0.969
640,0.172,0.078,-1.035
641,0.145,0.004,-0.934
