Sample,X,Y,Z
266,-0.152,0.133,-1.055
267,-0.836,-0.066,-1.320
268,-0.910,0.145,-0.711
269,-0.430,0.020,-0.855
270,-0.746,-0.188,-1.180
271,-0.184,0.020,-1.195
272,-0.332,0.242,-0.844
273,-0.703,0.094,-0.910
274,-0.605,0.152,-1.250
275,-0.605,0.152,-1.250
276,-0.766,-0.203,-0.750
277,-0.223,0.035,-0.750
278,-0.586,-0.023,-1.156
279,-0.895,-0.023,-0.852
280,0.047,0.406,-0.824
281,-0.922,-0.164,-0.887
282,-0.875,-0.156,-0.789
283,-0.375,0.332,-0.797
284,-0.707,-0.227,-1.234
285,-0.516,0.223,-0.875
286,-0.441,0.145,-0.809
287,-0.164,-0.320,-1.312
288,-0.695,-0.160,-0.453
289,-0.672,0.422,-0.926
290,-0.316,-0.180,-1.230
291,-0.746,-0.098,-0.520
292,-0.070,0.320,-1.328
293,0.047,-0.059,-1.559
294,-1.180,-0.355,-0.438
295,-0.949,0.547,-0.988
296,-0.516,-0.148,-1.336
297,-1.191,-0.156,-0.230
298,0.594,0.320,-1.422
299,0.855,-0.258,-1.488
300,-1.023,-0.129,0.129
301,-0.500,0.383,-1.336
302,-0.625,-0.445,-1.125
303,-1.688,0.129,0.352
304,-0.051,0.387,-1.781
305,0.059,-0.375,-1.281
306,-1.465,0.043,0.520
307,-0.430,0.676,-1.781
308,-0.336,-0.270,-0.973
309,-0.934,0.203,0.781
310,0.254,0.129,-1.805
311,-0.578,-0.168,-0.566
312,0.043,0.105,0.543
313,1.668,0.156,-1.941
314,1.668,0.156,-1.941
315,1.848,0.043,-0.664
316,1.867,-0.156,0.180
317,1.586,-0.340,-1.715
318,0.270,0.613,0.086
319,1.812,-0.105,-0.629
320,1.902,0.215,-1.938
321,1.992,-0.410,-1.422
322,1.738,-0.727,-0.840
323,-0.117,0.699,-1.387
324,-0.812,0.625,-1.043
325,0.492,-0.270,-0.785
326,-0.340,-0.219,-1.441
327,1.719,0.059,-1.973
328,1.043,-1.324,-0.988
329,-1.410,0.750,-0.324
330,-0.438,0.438,-1.867
331,-1.422,-0.023,0.457
332,-0.883,0.316,-0.363
333,1.738,-0.605,-1.977
334,0.875,-0.344,0.633
335,-0.035,0.707,-0.520
336,0.738,0.512,-1.820
337,-0.602,0.312,1.191
338,1.020,0.223,-0.691
339,1.980,-0.562,-1.789
340,0.672,-0.059,0.637
341,0.941,0.152,-0.941
342,0.984,0.301,-1.484
343,0.520,0.086,0.207
344,1.387,-0.266,-1.320
345,1.879,-0.031,-1.766
346,0.777,-0.266,-0.449
347,-0.047,-0.254,-1.418
348,0.348,0.809,-1.703
349,-0.055,0.074,-0.898
350,0.012,-0.738,-1.281
351,1.094,0.574,-1.402
352,0.746,-0.703,-0.926
353,0.121,0.133,-0.527
354,1.008,0.234,-1.832
355,0.074,-0.547,-0.547
356,-0.582,0.203,0.121
357,0.742,-0.133,-1.922
358,0.457,0.340,-0.367
359,0.324,0.348,-0.531
360,0.770,-0.207,-1.641
361,1.312,0.457,0.164
362,1.312,0.457,0.164
363,0.609,-0.184,-1.027
364,0.906,-0.203,-1.176
365,0.766,0.535,-0.023
366,0.402,-0.066,-1.117
367,0.230,0.324,-1.094
368,0.746,0.004,-0.078
369,0.973,0.234,-0.906
370,1.039,-0.141,-1.773
371,0.949,0.117,-0.574
372,1.098,0.004,-0.984
373,0.379,0.156,-1.469
374,0.301,-0.199,-0.723
375,0.453,-0.016,-0.816
376,1.023,0.090,-1.539
377,0.621,-0.375,-0.906
378,0.980,-0.160,-0.996
379,0.535,0.359,-1.484
380,0.383,-0.145,-1.137
381,0.773,-0.227,-0.988
382,0.492,-0.195,-1.141
383,0.801,-0.047,-0.836
384,0.832,-0.031,-0.969
385,-0.168,0.176,-1.191
386,0.328,0.199,-0.707
387,0.695,-0.152,-0.730
388,0.711,0.102,-1.207
389,1.160,0.512,-1.184
390,0.766,-0.312,-0.535
391,0.387,0.230,-0.340
392,0.023,0.223,-1.078
393,0.926,0.324,-0.738
394,1.043,-0.176,-0.496
395,0.500,-0.297,-0.898
396,0.816,0.367,-0.824
397,0.570,0.297,-0.664
398,0.480,0.141,-1.359
399,0.496,0.051,-1.176
400,0.574,0.023,-0.465
401,0.598,-0.500,-1.152
402,0.680,0.109,-1.145
403,0.344,0.066,-1.031
404,0.711,0.117,-1.148
405,0.504,-0.227,-1.371
406,0.770,-0.066,-1.055
407,1.074,0.219,-1.039
408,0.121,-0.555,-1.043
409,0.012,0.125,-0.672
410,0.590,0.180,-1.219
411,0.922,-0.137,-1.227
412,1.223,-0.191,-0.957
413,0.812,-0.145,-0.809
414,0.324,0.527,-0.777
415,0.051,-0.141,-0.883
416,0.047,0.176,-0.621
417,1.055,0.023,-1.246
418,0.629,-0.086,-0.848
419,1.035,0.055,-0.840
420,0.719,0.289,-0.719
421,0.090,0.547,-0.715
422,0.543,-0.246,-1.090
423,0.473,-0.051,-0.324
424,0.305,-0.051,-1.184
425,1.059,0.109,-1.289
426,0.461,-0.262,-0.492
